data,ticker,fechamento
2019-01-02,ABEV3,16.15
2019-01-02,ALPA4,17.5
2019-01-02,ARZZ3,55.31
2019-01-02,AZUL4,36.33
2019-01-02,B3SA3,27.79
2019-01-02,BBAS3,48.6
2019-01-02,BBDC3,35.77
2019-01-02,BBDC4,40.39
2019-01-02,BBSE3,28.32
2019-01-02,BEEF3,5.08
2019-01-02,BIDI4,39.46
2019-01-02,BPAC11,24.9
2019-01-02,BPAN4,2.0
2019-01-02,BRAP4,31.09
2019-01-02,BRDT3,26.0
2019-01-02,BRFS3,22.38
2019-01-02,BRKM5,48.31
2019-01-02,BRML3,13.46
2019-01-02,BTOW3,43.0
2019-01-02,CCRO3,12.0
2019-01-02,CIEL3,9.63
2019-01-02,CMIG4,14.3
2019-01-02,CPFE3,28.94
2019-01-02,CPLE3,30.0
2019-01-02,CPLE6,30.85
2019-01-02,CRFB3,18.95
2019-01-02,CSAN3,35.7
2019-01-02,CSMG3,63.8
2019-01-02,CSNA3,9.21
2019-01-02,CVCB3,61.1
2019-01-02,CYRE3,15.87
2019-01-02,DIRR3,8.18
2019-01-02,ECOR3,9.72
2019-01-02,EGIE3,34.14
2019-01-02,ELET3,29.25
2019-01-02,ELET6,32.26
2019-01-02,EMBR3,21.54
2019-01-02,ENBR3,14.18
2019-01-02,ENEV3,16.71
2019-01-02,ENGI11,38.0
2019-01-02,EQTL3,74.91
2019-01-02,ESTC3,24.85
2019-01-02,EZTC3,25.78
2019-01-02,FLRY3,20.15
2019-01-02,GGBR4,15.2
2019-01-02,GNDI3,29.56
2019-01-02,GOAU4,7.16
2019-01-02,GOLL4,25.45
2019-01-02,HAPV3,31.1
2019-01-02,HGTX3,30.21
2019-01-02,HYPE3,31.15
2019-01-02,IGTA3,42.43
2019-01-02,IRBR3,83.3
2019-01-02,ITSA4,12.65
2019-01-02,ITUB4,37.0
2019-01-02,JBSS3,12.04
2019-01-02,JHSF3,2.0
2019-01-02,KLBN11,16.31
2019-01-02,KROT3,9.25
2019-01-02,LAME4,19.72
2019-01-02,LCAM3,38.77
2019-01-02,LOGG3,16.85
2019-01-02,LREN3,43.55
2019-01-02,MGLU3,185.99
2019-01-02,MRFG3,5.65
2019-01-02,MRVE3,12.64
2019-01-02,MULT3,24.92
2019-01-02,NATU3,46.4
2019-01-02,PCAR4,82.77
2019-01-02,PETR3,26.65
2019-01-02,PETR4,24.06
2019-01-02,POMO4,4.24
2019-01-02,PRIO3,103.56
2019-01-02,PSSA3,52.01
2019-01-02,QUAL3,13.64
2019-01-02,RADL3,56.7
2019-01-02,RAIL3,16.95
2019-01-02,RENT3,30.87
2019-01-02,SANB11,45.74
2019-01-02,SBSP3,34.37
2019-01-02,SLCE3,44.43
2019-01-02,SMLS3,43.5
2019-01-02,SMTO3,18.5
2019-01-02,STBP3,4.25
2019-01-02,SULA11,28.1
2019-01-02,SUZB3,38.6
2019-01-02,TAEE11,24.21
2019-01-02,TEND3,32.37
2019-01-02,TIMP3,12.15
2019-01-02,TOTS3,28.65
2019-01-02,TRPL4,70.0
2019-01-02,UGPA3,54.34
2019-01-02,USIM5,9.76
2019-01-02,VALE3,51.09
2019-01-02,VIVT3,41.91
2019-01-02,VIVT4,47.18
2019-01-02,VVAR3,4.38
2019-01-02,WEGE3,17.98
2019-01-03,ABEV3,16.33
2019-01-03,ALPA4,17.53
2019-01-03,ARZZ3,55.58
2019-01-03,AZUL4,36.37
2019-01-03,B3SA3,29.0
2019-01-03,BBAS3,48.8
2019-01-03,BBDC3,36.5
2019-01-03,BBDC4,40.78
2019-01-03,BBSE3,28.63
2019-01-03,BEEF3,5.2
2019-01-03,BIDI4,38.32
2019-01-03,BPAC11,25.93
2019-01-03,BPAN4,1.94
2019-01-03,BRAP4,29.9
2019-01-03,BRDT3,26.6
2019-01-03,BRFS3,21.49
2019-01-03,BRKM5,48.6
2019-01-03,BRML3,13.55
2019-01-03,BTOW3,43.44
2019-01-03,CCRO3,12.39
2019-01-03,CIEL3,9.4
2019-01-03,CMIG4,14.0
2019-01-03,CPFE3,28.59
2019-01-03,CPLE3,30.2
2019-01-03,CPLE6,31.2
2019-01-03,CRFB3,19.76
2019-01-03,CSAN3,36.24
2019-01-03,CSMG3,64.9
2019-01-03,CSNA3,9.32
2019-01-03,CVCB3,60.71
2019-01-03,CYRE3,16.13
2019-01-03,DIRR3,8.17
2019-01-03,ECOR3,9.92
2019-01-03,EGIE3,35.26
2019-01-03,ELET3,31.0
2019-01-03,ELET6,34.2
2019-01-03,EMBR3,21.9
2019-01-03,ENBR3,14.77
2019-01-03,ENEV3,16.8
2019-01-03,ENGI11,38.2
2019-01-03,EQTL3,77.0
2019-01-03,ESTC3,24.83
2019-01-03,EZTC3,25.86
2019-01-03,FLRY3,20.45
2019-01-03,GGBR4,15.1
2019-01-03,GNDI3,29.5
2019-01-03,GOAU4,7.19
2019-01-03,GOLL4,25.63
2019-01-03,HAPV3,30.39
2019-01-03,HGTX3,30.62
2019-01-03,HYPE3,31.6
2019-01-03,IGTA3,42.82
2019-01-03,IRBR3,82.32
2019-01-03,ITSA4,12.76
2019-01-03,ITUB4,37.61
2019-01-03,JBSS3,12.23
2019-01-03,JHSF3,1.98
2019-01-03,KLBN11,16.73
2019-01-03,KROT3,9.36
2019-01-03,LAME4,19.66
2019-01-03,LCAM3,38.4
2019-01-03,LOGG3,16.6
2019-01-03,LREN3,43.0
2019-01-03,MGLU3,184.0
2019-01-03,MRFG3,5.69
2019-01-03,MRVE3,12.63
2019-01-03,MULT3,25.1
2019-01-03,NATU3,46.76
2019-01-03,PCAR4,84.2
2019-01-03,PETR3,27.2
2019-01-03,PETR4,24.65
2019-01-03,POMO4,4.25
2019-01-03,PRIO3,103.79
2019-01-03,PSSA3,50.36
2019-01-03,QUAL3,13.72
2019-01-03,RADL3,56.57
2019-01-03,RAIL3,17.44
2019-01-03,RENT3,30.36
2019-01-03,SANB11,47.25
2019-01-03,SBSP3,37.02
2019-01-03,SLCE3,42.5
2019-01-03,SMLS3,44.0
2019-01-03,SMTO3,18.14
2019-01-03,STBP3,4.37
2019-01-03,SULA11,27.35
2019-01-03,SUZB3,36.95
2019-01-03,TAEE11,24.28
2019-01-03,TEND3,32.39
2019-01-03,TIMP3,11.92
2019-01-03,TOTS3,29.31
2019-01-03,TRPL4,71.0
2019-01-03,UGPA3,53.33
2019-01-03,USIM5,9.55
2019-01-03,VALE3,49.0
2019-01-03,VIVT3,41.4
2019-01-03,VIVT4,47.6
2019-01-03,VVAR3,4.31
2019-01-03,WEGE3,18.39
2019-01-04,ABEV3,16.55
2019-01-04,ALPA4,17.4
2019-01-04,ARZZ3,53.33
2019-01-04,AZUL4,36.25
2019-01-04,B3SA3,27.95
2019-01-04,BBAS3,48.8
2019-01-04,BBDC3,35.7
2019-01-04,BBDC4,40.46
2019-01-04,BBSE3,28.35
2019-01-04,BEEF3,5.4
2019-01-04,BIDI4,37.85
2019-01-04,BPAC11,26.85
2019-01-04,BPAN4,1.97
2019-01-04,BRAP4,31.92
2019-01-04,BRDT3,26.7
2019-01-04,BRFS3,21.45
2019-01-04,BRKM5,48.06
2019-01-04,BRML3,13.29
2019-01-04,BTOW3,42.0
2019-01-04,CCRO3,12.25
2019-01-04,CIEL3,10.15
2019-01-04,CMIG4,13.86
2019-01-04,CPFE3,28.65
2019-01-04,CPLE3,29.28
2019-01-04,CPLE6,30.17
2019-01-04,CRFB3,19.2
2019-01-04,CSAN3,36.03
2019-01-04,CSMG3,65.4
2019-01-04,CSNA3,9.75
2019-01-04,CVCB3,59.95
2019-01-04,CYRE3,15.99
2019-01-04,DIRR3,8.14
2019-01-04,ECOR3,9.96
2019-01-04,EGIE3,35.52
2019-01-04,ELET3,30.53
2019-01-04,ELET6,33.96
2019-01-04,EMBR3,20.8
2019-01-04,ENBR3,14.88
2019-01-04,ENEV3,16.95
2019-01-04,ENGI11,38.5
2019-01-04,EQTL3,78.0
2019-01-04,ESTC3,25.21
2019-01-04,EZTC3,25.76
2019-01-04,FLRY3,20.85
2019-01-04,GGBR4,15.5
2019-01-04,GNDI3,29.51
