data,ticker,fechamento,quantidade,volume
2024-01-02,ABEV3,13.71,11690200,159839111.0
2024-01-02,ALOS3,25.75,6747600,174377718.0
2024-01-02,ALPA4,9.31,6907000,67135028.0
2024-01-02,AMER3,0.9,9105200,8283113.0
2024-01-02,ARZZ3,62.27,2316200,145146180.0
2024-01-02,ASAI3,13.02,7348700,96343103.0
2024-01-02,AURE3,13.3,5209500,69362169.0
2024-01-02,AZUL4,14.7,17737100,267157250.0
2024-01-02,B3SA3,14.17,30729000,434561185.0
2024-01-02,BBAS3,54.76,8170500,447608817.0
2024-01-02,BBDC3,15.11,4545600,68576854.0
2024-01-02,BBDC4,16.75,31715700,532553412.0
2024-01-02,BBSE3,33.89,3584300,121184339.0
2024-01-02,BEEF3,7.32,15690200,115312408.0
2024-01-02,BHIA3,11.1,4191900,47289090.0
2024-01-02,BPAC11,37.23,5020500,186746390.0
2024-01-02,BPAN4,8.32,1986400,16695465.0
2024-01-02,BRAP4,25.41,3148900,80593468.0
2024-01-02,BRFS3,13.25,6509100,87286687.0
2024-01-02,BRKM5,21.1,2953900,62442652.0
2024-01-02,CASH3,7.68,1570400,12202481.0
2024-01-02,CCRO3,13.99,4084400,57010136.0
2024-01-02,CEAB3,7.52,2422400,18374007.0
2024-01-02,CIEL3,4.54,31825500,144971292.0
2024-01-02,CMIG4,11.34,10559100,120219708.0
2024-01-02,CMIN3,7.89,7861400,61809054.0
2024-01-02,COGN3,3.36,24095200,82017977.0
2024-01-02,CPFE3,38.41,1197800,46055481.0
2024-01-02,CPLE3,9.26,4623200,43150328.0
2024-01-02,CPLE6,10.15,14192700,144369849.0
2024-01-02,CRFB3,12.01,4574900,55191521.0
2024-01-02,CSAN3,19.22,5096300,98073041.0
2024-01-02,CSMG3,20.2,1274500,25907002.0
2024-01-02,CSNA3,19.41,4502100,87312226.0
2024-01-02,CURY3,17.54,2066400,36769157.0
2024-01-02,CVCB3,3.28,39062900,131235148.0
2024-01-02,CXSE3,12.8,2156900,27772855.0
2024-01-02,CYRE3,23.14,4831100,112606370.0
